campaign_name,campaign_logo,automation,last_updated_at,code,date,original_currency,country,customer_type,ad_set,month,month_number,order_id,aov,net_orders,net_revenue,net_sales_amount,net_sales_amount_usd,net_aov_usd,orders,revenue,sales_amount,sales_amount_usd,aov_usd
Namshi,https://dl.airtable.com/.attachments/230027b31560f0bceb7ab3c35104ef08/b1bf0753/1200x630wa.png,data_studio,17-06-22 9:37,FUN189,19-01-22,USD,SAU,Returning,,Jan-22,Jan-22,4761,na,5,12.5,205.5275698,205.5275698,41.10551396,0,0,0,0,
Bath and Body Works EG,https://cdn.arabyads.com/boostiny//campaigns/November2020/zGBCYmoF5M6C1YfLAmMI.png,data_studio,17-06-22 9:37,A023,29-01-22,USD,EGY,NEW,5%,Jan-22,Jan-22,1418,na,1,1.8,41.6406,41.6406,41.6406,0,0,0,0,
Namshi,https://dl.airtable.com/.attachments/230027b31560f0bceb7ab3c35104ef08/b1bf0753/1200x630wa.png,data_studio,17-06-22 9:37,YY32,23-01-22,USD,SAU,Returning,,Jan-22,Jan-22,5912,na,1,2.5,229.9741321,229.9741321,229.9741321,0,0,0,0,
CitrussTV,https://cdn.arabyads.com/boostiny//campaigns/July2021/h3dZGD18KjWIN7xMJL49.jpeg,RTD,17-06-22 9:37,C18,24-01-22,USD,SAU,NA,10% up to 50SAR,Jan-22,Jan-22,7067146473-,,0,0,0,0,,1,18.48,308.073,308.073,308.073
CitrussTV,https://cdn.arabyads.com/boostiny//campaigns/July2021/h3dZGD18KjWIN7xMJL49.jpeg,RTD,17-06-22 9:37,C18,30-01-22,USD,SAU,NA,10% up to 50SAR,Jan-22,Jan-22,7067147922-,,0,0,0,0,,1,5.23,87.146,87.146,87.146
Brantu Egypt,https://cdn.arabyads.com/boostiny//campaigns/March2021/Gk3JL9DaLpBWqp3jLgux.jpg,RTD,17-06-22 9:37,BR59,26-01-22,EGP,EG,NA,Brantu,Jan-22,Jan-22,7779749472-,,0,0,0,0,,1,4,398.4,25.0992,25.0992
Brantu Egypt,https://cdn.arabyads.com/boostiny//campaigns/March2021/Gk3JL9DaLpBWqp3jLgux.jpg,RTD,17-06-22 9:37,BR59,27-01-22,EGP,EG,NA,Brantu,Jan-22,Jan-22,3182137489-,,0,0,0,0,,1,4,560,35.28,35.28
Brantu Egypt,https://cdn.arabyads.com/boostiny//campaigns/March2021/Gk3JL9DaLpBWqp3jLgux.jpg,RTD,17-06-22 9:37,BR59,28-01-22,EGP,EG,NA,Brantu,Jan-22,Jan-22,8398837617-,,0,0,0,0,,1,4,640,40.32,40.32
Brantu Egypt,https://cdn.arabyads.com/boostiny//campaigns/March2021/Gk3JL9DaLpBWqp3jLgux.jpg,RTD,17-06-22 9:37,HOOR,29-01-22,EGP,EG,NA,20% Off (Min Spend 199 EGP),Jan-22,Jan-22,4257525399-,,0,0,0,0,,1,4,816,51.408,51.408
Brantu Egypt,https://cdn.arabyads.com/boostiny//campaigns/March2021/Gk3JL9DaLpBWqp3jLgux.jpg,RTD,17-06-22 9:37,BR86,01-01-22,EGP,EG,NA,Brantu,Jan-22,Jan-22,6343938315-,,0,0,0,0,,1,4,525.65,33.11595,33.11595
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY70,26-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,3,7.5,457.0842467,124.4612979,41.48709929
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY72,30-01-22,AED,ARE,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,109.44,29.79985536,29.79985536
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY72,25-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,151.3559667,41.21332159,41.21332159
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,YN64,02-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,2,5,685.8075467,186.7412801,93.37064006
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,YN65,04-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,237.8311,64.75998154,64.75998154
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,YN70,02-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,273.8999467,74.58131208,74.58131208
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY76,27-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,125.5015667,34.17332359,34.17332359
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY77,23-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,318.4302333,86.70664196,86.70664196
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,NBF31,03-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,8,20,1715.772413,467.1945335,58.39931669
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,NBF39,02-01-22,AED,ARE,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,282.2,76.8413668,76.8413668
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,جولدن,01-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,2,5,618.7623867,168.4852853,84.24264266
Noon GCC,https://dl.airtable.com/.attachments/5682bae55707ca570b359f7d80ea379c/488eb14b/noon_logo.jpg,data_studio,17-06-22 9:37,HY77,16-01-22,AED,SAU,NA,10%,Jan-22,Jan-22,NA,100+,0,0,0,0,,1,2.5,102.15426,27.81599207,27.81599207
